ageGroup,region,relation,gender,planClassKey,industryKey,operatorTypeKey,memberCount
19-25,REGION_GREATER_LONDON,RELATION_DEPENDANT,M,null,null,null,199
46-55,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,387
66-70,REGION_SOUTH_WEST,RELATION_DEPENDANT,M,null,null,null,319
56-60,REGION_SOUTH_WEST,RELATION_EMPLOYEE,F,null,null,null,183
66-70,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,350
26-35,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,330
0-18,REGION_NORTH_EAST,RELATION_DEPENDANT,F,null,null,null,258
36-45,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,422
36-45,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,225
56-60,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,M,null,null,null,220
61-65,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,278
61-65,REGION_SCOTLAND,RELATION_EMPLOYEE,F,null,null,null,293
26-35,REGION_NORTHERN_IRELAND,RELATION_EMPLOYEE,F,null,null,null,379
46-55,REGION_NORTH_WEST,RELATION_EMPLOYEE,F,null,null,null,299
26-35,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,F,null,null,null,467
46-55,REGION_WALES,RELATION_DEPENDANT,M,null,null,null,271
56-60,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,358
46-55,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,374
36-45,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,F,null,null,null,455
26-35,REGION_NORTH_WEST,RELATION_EMPLOYEE,F,null,null,null,434
71-75,REGION_SCOTLAND,RELATION_EMPLOYEE,M,null,null,null,309
26-35,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,451
46-55,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,351
61-65,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,157
56-60,REGION_SOUTH_WEST,RELATION_DEPENDANT,F,null,null,null,459
26-35,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,F,null,null,null,185
26-35,REGION_NORTH_WEST,RELATION_EMPLOYEE,F,null,null,null,40
36-45,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,M,null,null,null,136
