ageGroup,region,relation,gender,planClassKey,industryKey,operatorTypeKey,memberCount
19-23,REGION_GREATER_LONDON,RELATION_DEPENDANT,M,null,null,null,199
34-38,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,387
49-53,REGION_SOUTH_WEST,RELATION_DEPENDANT,M,null,null,null,319
39-43,REGION_SOUTH_WEST,RELATION_EMPLOYEE,F,null,null,null,183
49-53,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,350
24-28,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,330
0-18,REGION_NORTH_EAST,RELATION_DEPENDANT,F,null,null,null,258
29-33,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,422
29-33,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,225
64+,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,M,null,null,null,220
44-48,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,278
44-48,REGION_SCOTLAND,RELATION_EMPLOYEE,F,null,null,null,293
24-28,REGION_NORTHERN_IRELAND,RELATION_EMPLOYEE,F,null,null,null,379
34-38,REGION_NORTH_WEST,RELATION_EMPLOYEE,F,null,null,null,299
24-28,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,F,null,null,null,467
34-38,REGION_WALES,RELATION_DEPENDANT,M,null,null,null,271
39-43,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,358
34-38,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,374
29-33,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,F,null,null,null,455
24-28,REGION_NORTH_WEST,RELATION_EMPLOYEE,F,null,null,null,434
54-58,REGION_SCOTLAND,RELATION_EMPLOYEE,M,null,null,null,309
24-28,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,451
34-38,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,351
44-48,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,157
39-43,REGION_SOUTH_WEST,RELATION_DEPENDANT,F,null,null,null,459
24-28,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,F,null,null,null,185
24-28,REGION_NORTH_WEST,RELATION_EMPLOYEE,F,null,null,null,40
29-33,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,M,null,null,null,136
29-33,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,78
19-23,REGION_SOUTH_WEST,RELATION_EMPLOYEE,F,null,null,null,470
34-38,REGION_SOUTH_WEST,RELATION_DEPENDANT,F,null,null,null,401
24-28,REGION_SOUTH_EAST,RELATION_EMPLOYEE,F,null,null,null,24
24-28,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,236
24-28,REGION_NORTH_EAST,RELATION_EMPLOYEE,F,null,null,null,230
29-33,REGION_NORTH_EAST,RELATION_EMPLOYEE,M,null,null,null,221
64+,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,438
54-58,REGION_WALES,RELATION_EMPLOYEE,M,null,null,null,268
24-28,REGION_SOUTH_WEST,RELATION_EMPLOYEE,M,null,null,null,393
29-33,REGION_NORTH_EAST,RELATION_DEPENDANT,M,null,null,null,325
44-48,REGION_NORTHERN_IRELAND,RELATION_DEPENDANT,M,null,null,null,413
44-48,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,273
39-43,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,400
29-33,REGION_SCOTLAND,RELATION_DEPENDANT,F,null,null,null,73
34-38,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,258
24-28,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,F,null,null,null,36
44-48,REGION_SOUTH_WEST,RELATION_DEPENDANT,F,null,null,null,361
24-28,REGION_NORTHERN_IRELAND,RELATION_DEPENDANT,F,null,null,null,6
49-53,REGION_NORTH_WEST,RELATION_DEPENDANT,F,null,null,null,353
29-33,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,370
39-43,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,66
29-33,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,M,null,null,null,461
29-33,REGION_SOUTH_WEST,RELATION_DEPENDANT,M,null,null,null,62
24-28,REGION_GREATER_LONDON,RELATION_DEPENDANT,F,null,null,null,133
39-43,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,254
29-33,REGION_SCOTLAND,RELATION_EMPLOYEE,F,null,null,null,165
39-43,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,173
29-33,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,308
64+,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,M,null,null,null,399
34-38,REGION_SOUTH_WEST,RELATION_DEPENDANT,M,null,null,null,406
39-43,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,187
49-53,REGION_GREATER_LONDON,RELATION_DEPENDANT,M,null,null,null,329
19-23,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,104
0-18,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,F,null,null,null,294
19-23,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,424
29-33,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,381
0-18,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,143
49-53,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,113
39-43,REGION_NORTH_WEST,RELATION_DEPENDANT,F,null,null,null,492
34-38,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,463
24-28,REGION_GREATER_LONDON,RELATION_DEPENDANT,M,null,null,null,152
19-23,REGION_NORTH_WEST,RELATION_DEPENDANT,F,null,null,null,492
29-33,REGION_SOUTH_WEST,RELATION_EMPLOYEE,M,null,null,null,405
64+,REGION_SOUTH_EAST,RELATION_EMPLOYEE,F,null,null,null,379
19-23,REGION_SOUTH_WEST,RELATION_EMPLOYEE,F,null,null,null,343
29-33,REGION_SOUTH_WEST,RELATION_EMPLOYEE,F,null,null,null,132
19-23,REGION_WALES,RELATION_EMPLOYEE,F,null,null,null,97
44-48,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,248
39-43,REGION_NORTH_EAST,RELATION_EMPLOYEE,F,null,null,null,66
49-53,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,F,null,null,null,209
59-63,REGION_SOUTH_WEST,RELATION_EMPLOYEE,M,null,null,null,420
0-18,REGION_NORTHERN_IRELAND,RELATION_DEPENDANT,F,null,null,null,187
0-18,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,310
24-28,REGION_SCOTLAND,RELATION_DEPENDANT,F,null,null,null,212
39-43,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,115
44-48,REGION_NORTH_EAST,RELATION_DEPENDANT,F,null,null,null,60
44-48,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,277
34-38,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,235
59-63,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,F,null,null,null,483
34-38,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,M,null,null,null,176
29-33,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,490
19-23,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,405
34-38,REGION_SCOTLAND,RELATION_DEPENDANT,M,null,null,null,70
19-23,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,497
49-53,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,188
29-33,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,233
24-28,REGION_NORTH_EAST,RELATION_DEPENDANT,F,null,null,null,66
29-33,REGION_GREATER_LONDON,RELATION_EMPLOYEE,F,null,null,null,261
29-33,REGION_GREATER_LONDON,RELATION_EMPLOYEE,F,null,null,null,196
44-48,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,202
64+,REGION_WALES,RELATION_EMPLOYEE,F,null,null,null,131
29-33,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,M,null,null,null,39
34-38,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,496
24-28,REGION_GREATER_LONDON,RELATION_EMPLOYEE,F,null,null,null,360
49-53,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,340
39-43,REGION_SOUTH_WEST,RELATION_EMPLOYEE,M,null,null,null,375
59-63,REGION_SOUTH_WEST,RELATION_EMPLOYEE,F,null,null,null,430
34-38,REGION_SOUTH_EAST,RELATION_EMPLOYEE,F,null,null,null,302
44-48,REGION_SCOTLAND,RELATION_EMPLOYEE,M,null,null,null,162
34-38,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,458
34-38,REGION_SCOTLAND,RELATION_EMPLOYEE,F,null,null,null,397
19-23,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,F,null,null,null,354
54-58,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,M,null,null,null,400
49-53,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,416
24-28,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,325
34-38,REGION_NORTH_WEST,RELATION_EMPLOYEE,F,null,null,null,100
34-38,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,359
49-53,REGION_SOUTH_WEST,RELATION_EMPLOYEE,M,null,null,null,292
39-43,REGION_SCOTLAND,RELATION_DEPENDANT,M,null,null,null,31
24-28,REGION_NORTHERN_IRELAND,RELATION_EMPLOYEE,F,null,null,null,233
0-18,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,122
44-48,REGION_SCOTLAND,RELATION_EMPLOYEE,F,null,null,null,395
34-38,REGION_NORTH_EAST,RELATION_DEPENDANT,F,null,null,null,73
0-18,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,M,null,null,null,483
44-48,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,371
49-53,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,157
29-33,REGION_WALES,RELATION_DEPENDANT,M,null,null,null,414
64+,REGION_GREATER_LONDON,RELATION_DEPENDANT,M,null,null,null,247
39-43,REGION_NORTH_EAST,RELATION_DEPENDANT,M,null,null,null,428
19-23,REGION_GREATER_LONDON,RELATION_DEPENDANT,F,null,null,null,277
59-63,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,108
29-33,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,409
59-63,REGION_SOUTH_WEST,RELATION_DEPENDANT,F,null,null,null,233
29-33,REGION_NORTH_EAST,RELATION_EMPLOYEE,M,null,null,null,134
39-43,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,440
39-43,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,228
44-48,REGION_SOUTH_EAST,RELATION_DEPENDANT,M,null,null,null,102
54-58,REGION_SCOTLAND,RELATION_DEPENDANT,F,null,null,null,459
34-38,REGION_NORTH_WEST,RELATION_DEPENDANT,F,null,null,null,172
49-53,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,285
49-53,REGION_NORTH_WEST,RELATION_EMPLOYEE,F,null,null,null,368
49-53,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,451
44-48,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,143
44-48,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,433
24-28,REGION_SOUTH_WEST,RELATION_DEPENDANT,F,null,null,null,452
0-18,REGION_NORTH_EAST,RELATION_DEPENDANT,M,null,null,null,462
49-53,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,125
39-43,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,320
29-33,REGION_GREATER_LONDON,RELATION_EMPLOYEE,F,null,null,null,417
49-53,REGION_GREATER_LONDON,RELATION_DEPENDANT,M,null,null,null,173
24-28,REGION_WALES,RELATION_EMPLOYEE,M,null,null,null,269
49-53,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,181
34-38,REGION_NORTH_EAST,RELATION_EMPLOYEE,F,null,null,null,51
29-33,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,249
24-28,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,397
29-33,REGION_SOUTH_WEST,RELATION_EMPLOYEE,F,null,null,null,43
49-53,REGION_SOUTH_WEST,RELATION_EMPLOYEE,F,null,null,null,432
59-63,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,F,null,null,null,386
49-53,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,98
34-38,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,255
39-43,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,465
49-53,REGION_SCOTLAND,RELATION_EMPLOYEE,F,null,null,null,242
19-23,REGION_GREATER_LONDON,RELATION_EMPLOYEE,F,null,null,null,159
54-58,REGION_SOUTH_EAST,RELATION_EMPLOYEE,F,null,null,null,197
49-53,REGION_GREATER_LONDON,RELATION_DEPENDANT,M,null,null,null,217
29-33,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,F,null,null,null,227
34-38,REGION_WALES,RELATION_DEPENDANT,M,null,null,null,126
54-58,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,248
19-23,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,336
0-18,REGION_GREATER_LONDON,RELATION_DEPENDANT,F,null,null,null,114
39-43,REGION_SCOTLAND,RELATION_EMPLOYEE,M,null,null,null,96
19-23,REGION_NORTH_EAST,RELATION_DEPENDANT,M,null,null,null,225
29-33,REGION_NORTH_WEST,RELATION_EMPLOYEE,F,null,null,null,6
39-43,REGION_NORTH_WEST,RELATION_DEPENDANT,F,null,null,null,115
0-18,REGION_SOUTH_WEST,RELATION_DEPENDANT,F,null,null,null,480
34-38,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,314
64+,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,187
29-33,REGION_GREATER_LONDON,RELATION_DEPENDANT,M,null,null,null,484
59-63,REGION_SOUTH_WEST,RELATION_EMPLOYEE,F,null,null,null,496
59-63,REGION_SCOTLAND,RELATION_EMPLOYEE,F,null,null,null,17
34-38,REGION_NORTH_WEST,RELATION_EMPLOYEE,M,null,null,null,85
59-63,REGION_NORTH_WEST,RELATION_EMPLOYEE,M,null,null,null,250
19-23,REGION_GREATER_LONDON,RELATION_DEPENDANT,F,null,null,null,447
54-58,REGION_WALES,RELATION_DEPENDANT,F,null,null,null,51
29-33,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,419
44-48,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,432
39-43,REGION_SCOTLAND,RELATION_DEPENDANT,F,null,null,null,9
44-48,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,341
19-23,REGION_WALES,RELATION_EMPLOYEE,M,null,null,null,360
59-63,REGION_GREATER_LONDON,RELATION_EMPLOYEE,F,null,null,null,385
34-38,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,F,null,null,null,220
0-18,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,385
29-33,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,354
39-43,REGION_SOUTH_EAST,RELATION_DEPENDANT,M,null,null,null,90
59-63,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,F,null,null,null,385
19-23,REGION_NORTH_EAST,RELATION_DEPENDANT,M,null,null,null,95
44-48,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,464
19-23,REGION_SOUTH_EAST,RELATION_EMPLOYEE,F,null,null,null,2
59-63,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,168
34-38,REGION_SOUTH_EAST,RELATION_EMPLOYEE,F,null,null,null,140
24-28,REGION_NORTH_WEST,RELATION_EMPLOYEE,M,null,null,null,484
44-48,REGION_GREATER_LONDON,RELATION_DEPENDANT,F,null,null,null,349
19-23,REGION_WALES,RELATION_DEPENDANT,F,null,null,null,303
24-28,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,191
29-33,REGION_SOUTH_WEST,RELATION_DEPENDANT,M,null,null,null,128
44-48,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,94
44-48,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,M,null,null,null,19
39-43,REGION_NORTH_WEST,RELATION_EMPLOYEE,F,null,null,null,236
54-58,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,F,null,null,null,64
24-28,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,F,null,null,null,188
34-38,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,204
29-33,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,M,null,null,null,450
19-23,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,500
24-28,REGION_NORTHERN_IRELAND,RELATION_EMPLOYEE,F,null,null,null,233
24-28,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,249
34-38,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,372
34-38,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,500
59-63,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,37
49-53,REGION_NORTH_WEST,RELATION_EMPLOYEE,F,null,null,null,2
24-28,REGION_SCOTLAND,RELATION_DEPENDANT,F,null,null,null,262
34-38,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,477
19-23,REGION_NORTH_WEST,RELATION_DEPENDANT,F,null,null,null,362
34-38,REGION_NORTH_WEST,RELATION_DEPENDANT,F,null,null,null,425
19-23,REGION_SCOTLAND,RELATION_EMPLOYEE,F,null,null,null,50
24-28,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,204
29-33,REGION_SOUTH_WEST,RELATION_EMPLOYEE,M,null,null,null,27
54-58,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,406
64+,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,27
24-28,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,F,null,null,null,160
19-23,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,451
49-53,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,156
44-48,REGION_NORTH_WEST,RELATION_DEPENDANT,F,null,null,null,43
29-33,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,283
24-28,REGION_NORTH_EAST,RELATION_EMPLOYEE,F,null,null,null,176
29-33,REGION_NORTH_EAST,RELATION_EMPLOYEE,F,null,null,null,420
54-58,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,135
29-33,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,188
59-63,REGION_SOUTH_WEST,RELATION_EMPLOYEE,M,null,null,null,457
39-43,REGION_SCOTLAND,RELATION_DEPENDANT,M,null,null,null,460
44-48,REGION_GREATER_LONDON,RELATION_EMPLOYEE,M,null,null,null,428
19-23,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,436
29-33,REGION_SOUTH_WEST,RELATION_EMPLOYEE,M,null,null,null,237
0-18,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,F,null,null,null,100
24-28,REGION_SOUTH_WEST,RELATION_DEPENDANT,F,null,null,null,38
59-63,REGION_NORTH_WEST,RELATION_EMPLOYEE,F,null,null,null,291
44-48,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,52
34-38,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,117
49-53,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,272
39-43,REGION_NORTH_EAST,RELATION_DEPENDANT,F,null,null,null,159
24-28,REGION_SCOTLAND,RELATION_DEPENDANT,F,null,null,null,311
24-28,REGION_SCOTLAND,RELATION_EMPLOYEE,F,null,null,null,269
19-23,REGION_WALES,RELATION_EMPLOYEE,F,null,null,null,139
54-58,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,F,null,null,null,154
19-23,REGION_EAST_MIDLANDS,RELATION_DEPENDANT,M,null,null,null,496
29-33,REGION_NORTH_WEST,RELATION_DEPENDANT,M,null,null,null,378
19-23,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,M,null,null,null,404
44-48,REGION_NORTH_WEST,RELATION_DEPENDANT,F,null,null,null,236
24-28,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,457
29-33,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,373
29-33,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,F,null,null,null,420
24-28,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,196
64+,REGION_SCOTLAND,RELATION_EMPLOYEE,F,null,null,null,190
29-33,REGION_SOUTH_EAST,RELATION_EMPLOYEE,M,null,null,null,155
39-43,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,M,null,null,null,496
39-43,REGION_SCOTLAND,RELATION_EMPLOYEE,M,null,null,null,472
34-38,REGION_NORTH_EAST,RELATION_EMPLOYEE,M,null,null,null,47
59-63,REGION_SCOTLAND,RELATION_EMPLOYEE,M,null,null,null,170
19-23,REGION_SCOTLAND,RELATION_EMPLOYEE,M,null,null,null,12
19-23,REGION_NORTH_WEST,RELATION_DEPENDANT,F,null,null,null,136
34-38,REGION_NORTH_EAST,RELATION_DEPENDANT,F,null,null,null,56
19-23,REGION_SOUTH_WEST,RELATION_DEPENDANT,M,null,null,null,386
29-33,REGION_SCOTLAND,RELATION_DEPENDANT,F,null,null,null,71
19-23,REGION_SOUTH_WEST,RELATION_DEPENDANT,M,null,null,null,194
44-48,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,477
29-33,REGION_SOUTH_EAST,RELATION_EMPLOYEE,F,null,null,null,93
44-48,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,M,null,null,null,343
19-23,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,F,null,null,null,381
29-33,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,F,null,null,null,327
29-33,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,268
44-48,REGION_SOUTH_WEST,RELATION_EMPLOYEE,M,null,null,null,210
64+,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,F,null,null,null,54
59-63,REGION_GREATER_LONDON,RELATION_EMPLOYEE,F,null,null,null,36
34-38,REGION_SCOTLAND,RELATION_EMPLOYEE,F,null,null,null,67
29-33,REGION_SOUTH_WEST,RELATION_DEPENDANT,F,null,null,null,235
19-23,REGION_NORTH_WEST,RELATION_EMPLOYEE,M,null,null,null,393
34-38,REGION_NORTH_EAST,RELATION_EMPLOYEE,F,null,null,null,289
49-53,REGION_SOUTH_EAST,RELATION_DEPENDANT,F,null,null,null,430
59-63,REGION_GREATER_LONDON,RELATION_DEPENDANT,F,null,null,null,342
49-53,REGION_SOUTH_EAST,RELATION_DEPENDANT,M,null,null,null,207
19-23,REGION_SCOTLAND,RELATION_EMPLOYEE,M,null,null,null,452
34-38,REGION_SOUTH_WEST,RELATION_DEPENDANT,M,null,null,null,188
29-33,REGION_NORTH_EAST,RELATION_EMPLOYEE,F,null,null,null,279
39-43,REGION_NORTHERN_IRELAND,RELATION_DEPENDANT,F,null,null,null,68
