ageGroup,region,relation,claimType,conditionGrouping,gender,planClassKey,industryKey,operatorTypeKey,currYearClaimCount,currYearTotalClaimCostAmount,prevYearClaimCount,prevYearTotalClaimCostAmount,prevYearTotalSettledClaimAmount,currYearTotalSettledClaimAmount
19-23,REGION_GREATER_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,5,1711.69,0,0,355,2668.69
34-38,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,836,85136.06,630,56319.09,56864.09,85630.06
49-53,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,1,90,0,0,165,856
49-53,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,33,3551.33,27,3815.4,4626.4,3879.33
29-33,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,M,null,null,null,36,43807.11,54,87718.04,87973.04,44526.11
29-33,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,M,null,null,null,17,12430.5,10,3534,3959,12694.5
39-43,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,22,1370.12,1,61.18,529.18,1997.12
44-48,REGION_WEST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,M,null,null,null,1,25,0,0,307,612
24-28,REGION_NORTHERN_IRELAND,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,2,1273.5,0,0,273,1647.5
34-38,REGION_NORTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DENTAL,F,null,null,null,38,25255,24,21933.5,22235.5,26056
24-28,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPECIAL/ACCER,F,null,null,null,110,13978.85,149,14669.05,15569.05,14414.85
34-38,REGION_WALES,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,0,0,1,117,1020,216
29-33,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_OTHER,F,null,null,null,156,79469.23,62,41857.98,42840.98,79791.23
24-28,REGION_NORTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_DENTAL,F,null,null,null,15,21388.71,0,0,260,21636.71
54-58,REGION_SCOTLAND,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,M,null,null,null,2,280.97,2,248.2,908.2,743.97
24-28,REGION_EAST_MIDLANDS,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,175,13554.82,179,14787.27,15556.27,14253.82
34-38,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,43,8637.95,44,7242.87,7284.87,9057.95
44-48,REGION_NORTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,1,200,0,0,126,1090
24-28,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_DAILY_HOSPITALIZATION,F,null,null,null,103,66699.48,56,43533.84,44144.84,66731.48
29-33,REGION_CENTRAL_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,43,43216.47,17,10832.26,11037.26,44130.47
19-23,REGION_SOUTH_WEST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_OTHER,F,null,null,null,3,556,0,0,746,1445
34-38,REGION_SOUTH_WEST,RELATION_DEPENDANT,CLAIM_TYPE_DAYCASE,CONDITION_GROUPING_SPECIAL/ACCER,F,null,null,null,0,0,10,2672,3157,677
24-28,REGION_CENTRAL_LONDON,RELATION_DEPENDANT,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,14,3798.22,4,1714,1938,4710.22
29-33,REGION_NORTH_EAST,RELATION_EMPLOYEE,CLAIM_TYPE_OUT_PATIENT,CONDITION_GROUPING_SPEC/ACC_CHECK_UP,M,null,null,null,150,14022.05,145,13332.94,13875.94,14612.05
39-43,REGION_GREATER_LONDON,RELATION_EMPLOYEE,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,6,19460.86,11,8484.92,8847.92,20436.86
44-48,REGION_NORTHERN_IRELAND,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_HOSPITALIZATION,M,null,null,null,1,1869.5,0,0,91,2547.5
44-48,REGION_WEST_MIDLANDS,RELATION_DEPENDANT,CLAIM_TYPE_IN_PATIENT,CONDITION_GROUPING_LENSES,F,null,null,null,2,300,0,0,90,411
